type,size,algorithm,time_ms,comparisons
random,100,quicksort,0.0126464,753
random,100,mergesort,0.036012,603
random,100,string_quicksort,0.009323,534
random,100,string_mergesort,0.041555,511
random,100,msd_radix,0.0350538,177
random,100,msd_radix_cutoff,0.0095714,157
random,200,quicksort,0.0295782,1628
random,200,mergesort,0.0814946,1516
random,200,string_quicksort,0.022925,1333
random,200,string_mergesort,0.0940388,1147
random,200,msd_radix,0.068209,398
random,200,msd_radix_cutoff,0.0205894,417
random,300,quicksort,0.0654684,3194
random,300,mergesort,0.139261,2540
random,300,string_quicksort,0.0426536,2552
random,300,string_mergesort,0.194261,1856
random,300,msd_radix,0.0982438,622
random,300,msd_radix_cutoff,0.0339048,759
random,400,quicksort,0.0720716,4072
random,400,mergesort,0.201208,3692
random,400,string_quicksort,0.0528256,3090
random,400,string_mergesort,0.222325,2577
random,400,msd_radix,0.123696,839
random,400,msd_radix_cutoff,0.047265,1109
random,500,quicksort,0.11964,6796
random,500,mergesort,0.241392,4895
random,500,string_quicksort,0.0755144,4460
random,500,string_mergesort,0.298764,3330
random,500,msd_radix,0.149481,1052
random,500,msd_radix_cutoff,0.117051,1492
random,600,quicksort,0.155694,7625
random,600,mergesort,0.328475,6121
random,600,string_quicksort,0.0855812,5108
random,600,string_mergesort,0.348287,4080
random,600,msd_radix,0.172733,1274
random,600,msd_radix_cutoff,0.0740618,1963
random,700,quicksort,0.155244,9080
random,700,mergesort,0.369716,7456
random,700,string_quicksort,0.107961,6548
random,700,string_mergesort,0.417773,4854
random,700,msd_radix,0.190846,1497
random,700,msd_radix_cutoff,0.0836868,2413
random,800,quicksort,0.168238,10274
random,800,mergesort,0.428346,8836
random,800,string_quicksort,0.117456,6994
random,800,string_mergesort,0.469504,5616
random,800,msd_radix,0.20105,1717
random,800,msd_radix_cutoff,0.0999382,2900
random,900,quicksort,0.236797,12509
random,900,mergesort,0.483914,10215
random,900,string_quicksort,0.143985,8946
random,900,string_mergesort,0.54299,6418
random,900,msd_radix,0.237028,1948
random,900,msd_radix_cutoff,0.112216,3410
random,1000,quicksort,0.239325,14839
random,1000,mergesort,0.523882,11687
random,1000,string_quicksort,0.158538,10067
random,1000,string_mergesort,0.606645,7210
random,1000,msd_radix,0.278276,2181
random,1000,msd_radix_cutoff,0.129568,3912
random,1100,quicksort,0.249974,15658
random,1100,mergesort,0.659509,13038
random,1100,string_quicksort,0.215144,11182
random,1100,string_mergesort,0.739507,7992
random,1100,msd_radix,0.276995,2396
random,1100,msd_radix_cutoff,0.142068,4505
random,1200,quicksort,0.303193,18283
random,1200,mergesort,0.667306,14565
random,1200,string_quicksort,0.201726,13113
random,1200,string_mergesort,0.696897,8734
random,1200,msd_radix,0.309978,2632
random,1200,msd_radix_cutoff,0.166276,5057
random,1300,quicksort,0.314399,18236
random,1300,mergesort,0.784868,16103
random,1300,string_quicksort,0.206877,12591
random,1300,string_mergesort,0.800866,9499
random,1300,msd_radix,0.343009,2880
random,1300,msd_radix_cutoff,0.17581,5786
random,1400,quicksort,0.340292,21946
random,1400,mergesort,0.838047,17642
random,1400,string_quicksort,0.216419,13222
random,1400,string_mergesort,0.852901,10334
random,1400,msd_radix,0.378665,3128
random,1400,msd_radix_cutoff,0.199934,6175
random,1500,quicksort,0.377978,23091
random,1500,mergesort,0.877099,19175
random,1500,string_quicksort,0.242836,15306
random,1500,string_mergesort,0.931385,11223
random,1500,msd_radix,0.397806,3364
random,1500,msd_radix_cutoff,0.209187,6841
random,1600,quicksort,0.383154,23399
random,1600,mergesort,0.940073,20785
random,1600,string_quicksort,0.272374,17213
random,1600,string_mergesort,1.01892,11994
random,1600,msd_radix,0.455905,3610
random,1600,msd_radix_cutoff,0.233867,7427
random,1700,quicksort,0.439119,26062
random,1700,mergesort,1.1448,22405
random,1700,string_quicksort,0.319373,18134
random,1700,string_mergesort,1.13107,12859
random,1700,msd_radix,0.485135,3863
random,1700,msd_radix_cutoff,0.259742,8092
random,1800,quicksort,0.486729,28576
random,1800,mergesort,1.07795,23945
random,1800,string_quicksort,0.308338,18669
random,1800,string_mergesort,1.14031,13589
random,1800,msd_radix,0.498206,4108
random,1800,msd_radix_cutoff,0.259609,8662
random,1900,quicksort,0.571288,30372
random,1900,mergesort,1.20697,25622
random,1900,string_quicksort,0.321649,20243
random,1900,string_mergesort,1.21074,14460
random,1900,msd_radix,0.562519,4376
